Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:03:52.794,1 Jun 2027 00:08:28.836,276.042
2,1 Jun 2027 00:08:42.258,1 Jun 2027 00:10:32.936,110.679
3,1 Jun 2027 00:11:18.299,1 Jun 2027 00:11:55.664,37.364
4,1 Jun 2027 01:40:27.515,1 Jun 2027 01:47:02.751,395.236
5,1 Jun 2027 03:15:59.213,1 Jun 2027 03:23:45.361,466.148
6,1 Jun 2027 04:53:42.717,1 Jun 2027 04:53:52.797,10.080
7,1 Jun 2027 04:54:04.819,1 Jun 2027 04:55:06.441,61.622
8,1 Jun 2027 04:55:11.740,1 Jun 2027 04:55:48.502,36.762
9,1 Jun 2027 04:55:50.252,1 Jun 2027 04:59:18.914,208.662
10,1 Jun 2027 06:32:15.969,1 Jun 2027 06:37:09.530,293.561
11,1 Jun 2027 07:56:01.330,1 Jun 2027 07:58:16.810,135.480
12,1 Jun 2027 09:32:00.449,1 Jun 2027 09:35:53.681,233.232
13,1 Jun 2027 11:05:45.570,1 Jun 2027 11:13:08.240,442.670
14,1 Jun 2027 11:13:11.092,1 Jun 2027 11:14:19.859,68.767
15,1 Jun 2027 12:43:09.880,1 Jun 2027 12:50:15.940,426.059
16,1 Jun 2027 14:20:13.841,1 Jun 2027 14:24:43.186,269.345
17,1 Jun 2027 14:24:52.922,1 Jun 2027 14:26:04.696,71.774
18,1 Jun 2027 15:56:58.490,1 Jun 2027 16:01:46.773,288.282
19,1 Jun 2027 17:32:15.028,1 Jun 2027 17:32:23.018,7.990
20,1 Jun 2027 17:33:55.618,1 Jun 2027 17:36:47.579,171.960
21,1 Jun 2027 22:39:49.726,1 Jun 2027 22:42:22.436,152.710
22,1 Jun 2027 22:42:53.482,1 Jun 2027 22:44:41.276,107.794
23,2 Jun 2027 00:15:48.628,2 Jun 2027 00:22:33.373,404.745
24,2 Jun 2027 01:52:31.532,2 Jun 2027 01:58:54.942,383.410
25,2 Jun 2027 03:28:03.474,2 Jun 2027 03:35:32.291,448.817
26,2 Jun 2027 05:06:10.837,2 Jun 2027 05:06:39.336,28.499
27,2 Jun 2027 05:06:45.441,2 Jun 2027 05:12:23.025,337.584
28,2 Jun 2027 06:44:11.554,2 Jun 2027 06:49:04.723,293.169
29,2 Jun 2027 08:07:52.969,2 Jun 2027 08:10:28.136,155.167
30,2 Jun 2027 09:44:15.137,2 Jun 2027 09:47:46.375,211.239
31,2 Jun 2027 11:18:19.322,2 Jun 2027 11:25:13.073,413.751
32,2 Jun 2027 11:25:17.551,2 Jun 2027 11:26:18.767,61.216
