Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 03:00:00.000,1 Jun 2027 03:00:00.511,0.511
2,1 Jun 2027 04:32:47.092,1 Jun 2027 04:39:49.046,421.954
3,1 Jun 2027 05:57:08.449,1 Jun 2027 05:59:20.377,131.928
4,1 Jun 2027 06:09:21.590,1 Jun 2027 06:09:52.706,31.116
5,1 Jun 2027 07:31:15.336,1 Jun 2027 07:32:28.955,73.619
6,1 Jun 2027 07:33:18.623,1 Jun 2027 07:36:56.350,217.727
7,1 Jun 2027 09:06:03.413,1 Jun 2027 09:14:02.465,479.052
8,1 Jun 2027 09:14:25.050,1 Jun 2027 09:15:00.516,35.466
9,1 Jun 2027 10:43:54.490,1 Jun 2027 10:51:20.268,445.778
10,2 Jun 2027 03:06:43.297,2 Jun 2027 03:07:02.969,19.671
11,2 Jun 2027 03:07:08.288,2 Jun 2027 03:08:20.876,72.588
12,2 Jun 2027 03:08:47.675,2 Jun 2027 03:12:17.538,209.863
13,2 Jun 2027 04:45:10.588,2 Jun 2027 04:50:17.891,307.302
14,2 Jun 2027 06:09:06.437,2 Jun 2027 06:11:22.978,136.541
15,2 Jun 2027 07:45:03.757,2 Jun 2027 07:48:59.825,236.068
16,2 Jun 2027 09:18:52.283,2 Jun 2027 09:26:13.460,441.177
17,2 Jun 2027 09:26:24.394,2 Jun 2027 09:27:24.375,59.981
18,2 Jun 2027 10:56:01.865,2 Jun 2027 11:03:20.137,438.272
19,3 Jun 2027 03:19:28.455,3 Jun 2027 03:19:48.453,19.998
20,3 Jun 2027 03:20:05.394,3 Jun 2027 03:20:56.178,50.784
21,3 Jun 2027 03:20:58.037,3 Jun 2027 03:25:29.014,270.978
22,3 Jun 2027 04:57:36.591,3 Jun 2027 05:02:18.693,282.101
23,3 Jun 2027 06:20:59.241,3 Jun 2027 06:23:28.368,149.127
24,3 Jun 2027 07:57:21.554,3 Jun 2027 08:00:51.112,209.558
25,3 Jun 2027 09:31:13.990,3 Jun 2027 09:38:21.509,427.519
26,3 Jun 2027 09:38:22.696,3 Jun 2027 09:39:23.927,61.231
27,3 Jun 2027 11:08:28.557,3 Jun 2027 11:15:09.411,400.855
28,4 Jun 2027 03:31:15.148,4 Jun 2027 03:31:16.561,1.413
29,4 Jun 2027 03:31:37.244,4 Jun 2027 03:32:27.722,50.478
30,4 Jun 2027 03:32:34.057,4 Jun 2027 03:37:29.292,295.234
31,4 Jun 2027 05:09:54.440,4 Jun 2027 05:13:55.632,241.192
32,4 Jun 2027 06:32:48.274,4 Jun 2027 06:35:35.454,167.180
33,4 Jun 2027 08:09:25.099,4 Jun 2027 08:12:58.901,213.802
34,4 Jun 2027 09:44:31.919,4 Jun 2027 09:50:17.966,346.047
35,4 Jun 2027 09:50:21.546,4 Jun 2027 09:51:20.196,58.649
36,4 Jun 2027 11:20:52.523,4 Jun 2027 11:27:15.288,382.765
37,5 Jun 2027 03:43:22.139,5 Jun 2027 03:44:23.569,61.430
38,5 Jun 2027 03:44:30.300,5 Jun 2027 03:49:34.320,304.020
39,5 Jun 2027 05:21:39.633,5 Jun 2027 05:22:13.895,34.262
40,5 Jun 2027 05:22:28.288,5 Jun 2027 05:25:28.452,180.164
41,5 Jun 2027 06:45:01.991,5 Jun 2027 06:48:11.277,189.286
42,5 Jun 2027 08:21:35.940,5 Jun 2027 08:25:06.140,210.200
43,5 Jun 2027 09:56:45.592,5 Jun 2027 10:03:21.734,396.143
44,5 Jun 2027 11:33:06.923,5 Jun 2027 11:39:17.847,370.924
45,6 Jun 2027 03:56:28.774,6 Jun 2027 04:01:34.487,305.713
46,6 Jun 2027 04:02:58.016,6 Jun 2027 04:04:25.462,87.446
47,6 Jun 2027 05:33:36.602,6 Jun 2027 05:34:16.836,40.234
48,6 Jun 2027 05:34:34.727,6 Jun 2027 05:37:12.204,157.477
49,6 Jun 2027 06:57:31.936,6 Jun 2027 07:00:16.037,164.101
50,6 Jun 2027 08:33:26.338,6 Jun 2027 08:37:31.425,245.087
51,6 Jun 2027 10:08:19.444,6 Jun 2027 10:15:30.349,430.905
52,6 Jun 2027 11:44:43.906,6 Jun 2027 11:51:08.253,384.347
53,7 Jun 2027 04:08:32.784,7 Jun 2027 04:14:11.388,338.604
54,7 Jun 2027 04:14:19.908,7 Jun 2027 04:16:10.703,110.795
55,7 Jun 2027 05:34:17.054,7 Jun 2027 05:35:16.242,59.188
56,7 Jun 2027 05:45:33.109,7 Jun 2027 05:47:13.800,100.691
57,7 Jun 2027 05:48:14.324,7 Jun 2027 05:48:16.309,1.985
58,7 Jun 2027 07:08:09.055,7 Jun 2027 07:12:49.464,280.409
59,7 Jun 2027 08:43:43.518,7 Jun 2027 08:44:31.016,47.498
60,7 Jun 2027 08:45:10.499,7 Jun 2027 08:49:46.229,275.729
61,7 Jun 2027 10:19:57.845,7 Jun 2027 10:27:32.775,454.930
62,7 Jun 2027 11:57:03.863,7 Jun 2027 12:00:00.000,176.137
63,8 Jun 2027 04:21:02.607,8 Jun 2027 04:28:10.595,427.988
64,8 Jun 2027 05:45:52.897,8 Jun 2027 05:47:27.045,94.148
65,8 Jun 2027 05:57:34.994,8 Jun 2027 05:58:35.347,60.352
66,8 Jun 2027 07:19:51.973,8 Jun 2027 07:20:58.159,66.186
67,8 Jun 2027 07:21:48.853,8 Jun 2027 07:25:02.820,193.967
68,8 Jun 2027 08:54:50.467,8 Jun 2027 08:56:44.086,113.618
69,8 Jun 2027 08:56:54.006,8 Jun 2027 09:02:08.003,313.997
70,8 Jun 2027 09:02:48.672,8 Jun 2027 09:03:10.174,21.502
71,8 Jun 2027 10:32:18.051,8 Jun 2027 10:39:35.964,437.913
72,9 Jun 2027 03:00:00.000,9 Jun 2027 03:00:18.178,18.178
73,9 Jun 2027 04:33:04.795,9 Jun 2027 04:40:04.680,419.885
74,9 Jun 2027 05:57:25.795,9 Jun 2027 05:59:33.883,128.088
75,9 Jun 2027 06:09:41.865,9 Jun 2027 06:10:09.564,27.699
76,9 Jun 2027 07:31:29.205,9 Jun 2027 07:32:45.368,76.163
77,9 Jun 2027 07:33:34.232,9 Jun 2027 07:37:15.737,221.504
78,9 Jun 2027 09:06:18.329,9 Jun 2027 09:14:20.079,481.750
79,9 Jun 2027 09:14:41.496,9 Jun 2027 09:15:24.183,42.686
80,9 Jun 2027 10:44:11.634,9 Jun 2027 10:51:36.905,445.271
81,10 Jun 2027 03:07:00.807,10 Jun 2027 03:07:16.596,15.789
82,10 Jun 2027 03:07:24.925,10 Jun 2027 03:08:37.161,72.236
83,10 Jun 2027 03:09:11.317,10 Jun 2027 03:12:35.851,204.534
84,10 Jun 2027 04:45:29.733,10 Jun 2027 04:50:36.847,307.114
85,10 Jun 2027 06:09:22.489,10 Jun 2027 06:11:39.608,137.119
86,10 Jun 2027 07:45:21.980,10 Jun 2027 07:49:16.424,234.444
87,10 Jun 2027 09:19:10.286,10 Jun 2027 09:26:28.691,438.405
88,10 Jun 2027 09:26:41.117,10 Jun 2027 09:27:41.413,60.296
89,10 Jun 2027 10:56:19.087,10 Jun 2027 11:03:37.690,438.603
90,11 Jun 2027 03:19:45.122,11 Jun 2027 03:20:04.298,19.176
91,11 Jun 2027 03:20:18.287,11 Jun 2027 03:21:13.170,54.883
92,11 Jun 2027 03:21:14.563,11 Jun 2027 03:25:46.815,272.251
93,11 Jun 2027 04:57:52.674,11 Jun 2027 05:02:33.497,280.823
94,11 Jun 2027 06:21:15.917,11 Jun 2027 06:23:46.945,151.028
95,11 Jun 2027 07:57:38.469,11 Jun 2027 08:01:06.820,208.351
96,11 Jun 2027 09:31:33.897,11 Jun 2027 09:38:38.536,424.640
97,11 Jun 2027 09:38:39.583,11 Jun 2027 09:39:40.712,61.128
98,11 Jun 2027 11:08:44.892,11 Jun 2027 11:15:26.038,401.145
99,12 Jun 2027 03:31:50.042,12 Jun 2027 03:32:44.932,54.890
100,12 Jun 2027 03:32:50.688,12 Jun 2027 03:37:46.921,296.233
101,12 Jun 2027 05:10:12.429,12 Jun 2027 05:14:14.665,242.236
102,12 Jun 2027 06:33:08.197,12 Jun 2027 06:35:52.129,163.932
103,12 Jun 2027 08:09:42.001,12 Jun 2027 08:13:15.668,213.667
104,12 Jun 2027 09:44:50.928,12 Jun 2027 09:50:35.053,344.126
105,12 Jun 2027 09:50:38.065,12 Jun 2027 09:51:37.438,59.374
106,12 Jun 2027 11:21:10.948,12 Jun 2027 11:27:32.704,381.757
107,13 Jun 2027 03:43:39.216,13 Jun 2027 03:44:38.941,59.725
108,13 Jun 2027 03:44:46.700,13 Jun 2027 03:49:51.207,304.507
109,13 Jun 2027 05:21:56.237,13 Jun 2027 05:22:31.203,34.966
110,13 Jun 2027 05:22:44.855,13 Jun 2027 05:25:43.960,179.105
111,13 Jun 2027 06:45:17.798,13 Jun 2027 06:48:28.749,190.951
112,13 Jun 2027 08:21:52.825,13 Jun 2027 08:25:21.879,209.054
113,13 Jun 2027 09:57:02.903,13 Jun 2027 10:03:38.550,395.647
114,13 Jun 2027 11:33:23.766,13 Jun 2027 11:39:34.349,370.583
