Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 03:20:57.963,1 Jun 2027 03:29:01.854,483.892
2,1 Jun 2027 03:29:21.956,1 Jun 2027 03:30:20.217,58.261
3,1 Jun 2027 04:58:52.355,1 Jun 2027 05:06:17.722,445.367
4,1 Jun 2027 06:35:36.482,1 Jun 2027 06:42:19.810,403.329
5,1 Jun 2027 08:13:30.004,1 Jun 2027 08:17:52.145,262.141
6,1 Jun 2027 09:49:27.836,1 Jun 2027 09:53:47.822,259.986
7,2 Jun 2027 03:33:50.967,2 Jun 2027 03:42:21.540,510.574
8,2 Jun 2027 05:11:00.815,2 Jun 2027 05:18:17.148,436.333
9,2 Jun 2027 06:48:15.143,2 Jun 2027 06:52:45.627,270.484
10,2 Jun 2027 06:52:55.789,2 Jun 2027 06:54:06.576,70.786
11,2 Jun 2027 08:24:55.955,2 Jun 2027 08:29:48.432,292.477
12,2 Jun 2027 10:00:08.526,2 Jun 2027 10:00:22.360,13.833
13,2 Jun 2027 10:01:54.056,2 Jun 2027 10:04:50.865,176.809
14,3 Jun 2027 03:46:17.242,3 Jun 2027 03:53:14.809,417.567
15,3 Jun 2027 03:53:18.851,3 Jun 2027 03:54:19.875,61.023
16,3 Jun 2027 05:23:25.532,3 Jun 2027 05:30:07.524,401.992
17,3 Jun 2027 07:00:23.548,3 Jun 2027 07:05:33.866,310.319
18,3 Jun 2027 08:37:10.699,3 Jun 2027 08:41:41.533,270.834
19,3 Jun 2027 10:15:21.181,3 Jun 2027 10:16:21.741,60.560
20,4 Jun 2027 03:59:30.607,4 Jun 2027 04:05:16.228,345.621
21,4 Jun 2027 04:05:16.424,4 Jun 2027 04:06:19.781,63.357
22,4 Jun 2027 05:35:51.112,4 Jun 2027 05:42:13.500,382.388
23,4 Jun 2027 07:13:25.142,4 Jun 2027 07:17:47.554,262.412
24,4 Jun 2027 08:49:28.531,4 Jun 2027 08:53:40.105,251.574
25,5 Jun 2027 04:11:42.539,5 Jun 2027 04:18:18.253,395.714
26,5 Jun 2027 05:48:02.138,5 Jun 2027 05:53:46.373,344.235
27,5 Jun 2027 05:53:54.104,5 Jun 2027 05:54:05.656,11.552
28,5 Jun 2027 07:25:29.011,5 Jun 2027 07:30:01.629,272.618
29,5 Jun 2027 09:01:32.573,5 Jun 2027 09:05:43.037,250.463
30,5 Jun 2027 09:05:48.015,5 Jun 2027 09:06:25.132,37.117
31,6 Jun 2027 04:23:11.685,6 Jun 2027 04:30:27.619,435.933
32,6 Jun 2027 05:59:42.046,6 Jun 2027 06:06:05.993,383.947
33,6 Jun 2027 07:38:00.073,6 Jun 2027 07:41:43.228,223.155
34,6 Jun 2027 09:13:25.457,6 Jun 2027 09:17:28.871,243.414
35,6 Jun 2027 09:17:49.181,6 Jun 2027 09:18:48.472,59.291
36,7 Jun 2027 03:00:04.086,7 Jun 2027 03:04:44.355,280.270
37,7 Jun 2027 04:34:55.797,7 Jun 2027 04:42:28.223,452.425
38,7 Jun 2027 06:12:01.862,7 Jun 2027 06:18:05.670,363.807
39,7 Jun 2027 07:49:57.373,7 Jun 2027 07:53:55.536,238.164
40,7 Jun 2027 09:23:02.987,7 Jun 2027 09:29:23.786,380.799
41,7 Jun 2027 09:30:04.976,7 Jun 2027 09:31:04.502,59.526
42,8 Jun 2027 03:09:43.343,8 Jun 2027 03:11:40.697,117.353
43,8 Jun 2027 03:11:48.593,8 Jun 2027 03:17:06.737,318.145
44,8 Jun 2027 03:17:42.131,8 Jun 2027 03:18:07.308,25.177
45,8 Jun 2027 04:47:13.181,8 Jun 2027 04:54:31.837,438.656
46,8 Jun 2027 06:23:57.903,8 Jun 2027 06:29:15.660,317.757
47,8 Jun 2027 06:29:17.244,8 Jun 2027 06:30:10.270,53.025
48,8 Jun 2027 06:30:14.087,8 Jun 2027 06:30:31.321,17.233
49,8 Jun 2027 08:01:56.650,8 Jun 2027 08:06:07.487,250.837
50,8 Jun 2027 09:35:34.161,8 Jun 2027 09:42:58.755,444.594
51,9 Jun 2027 03:21:12.412,9 Jun 2027 03:29:16.515,484.103
52,9 Jun 2027 03:29:36.616,9 Jun 2027 03:30:34.872,58.256
53,9 Jun 2027 04:59:07.076,9 Jun 2027 05:06:32.525,445.448
54,9 Jun 2027 06:35:51.367,9 Jun 2027 06:41:35.401,344.035
55,9 Jun 2027 06:41:37.713,9 Jun 2027 06:42:34.338,56.626
56,9 Jun 2027 08:13:44.746,9 Jun 2027 08:18:06.748,262.002
