Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:12:37.250,1 Jun 2027 00:22:37.024,599.774
2,1 Jun 2027 01:46:14.389,1 Jun 2027 01:58:15.337,720.949
3,1 Jun 2027 03:21:13.713,1 Jun 2027 03:34:10.155,776.442
4,1 Jun 2027 04:58:15.451,1 Jun 2027 05:10:00.197,704.746
5,1 Jun 2027 06:38:22.873,1 Jun 2027 06:45:00.546,397.673
6,1 Jun 2027 14:54:05.063,1 Jun 2027 15:03:50.620,585.557
7,1 Jun 2027 16:29:39.975,1 Jun 2027 16:42:17.724,757.749
8,1 Jun 2027 18:05:34.905,1 Jun 2027 18:18:18.008,763.103
9,1 Jun 2027 19:41:25.062,1 Jun 2027 19:52:33.268,668.206
10,1 Jun 2027 21:16:45.503,1 Jun 2027 21:25:52.714,547.212
11,1 Jun 2027 22:50:59.603,1 Jun 2027 22:59:37.089,517.486
12,2 Jun 2027 00:24:18.644,2 Jun 2027 00:34:34.351,615.707
13,2 Jun 2027 01:58:03.215,2 Jun 2027 02:10:16.176,732.961
14,2 Jun 2027 03:33:15.883,2 Jun 2027 03:46:11.512,775.628
15,2 Jun 2027 05:10:35.925,2 Jun 2027 05:21:59.178,683.252
16,2 Jun 2027 06:51:21.628,2 Jun 2027 06:56:39.895,318.267
17,2 Jun 2027 15:06:01.009,2 Jun 2027 15:16:21.422,620.413
18,2 Jun 2027 16:41:40.838,2 Jun 2027 16:54:26.661,765.822
19,2 Jun 2027 18:17:36.237,2 Jun 2027 18:30:11.777,755.541
20,2 Jun 2027 19:53:24.318,2 Jun 2027 20:04:16.735,652.417
21,2 Jun 2027 21:28:38.443,2 Jun 2027 21:37:34.430,535.987
22,2 Jun 2027 23:02:42.965,2 Jun 2027 23:11:27.265,524.301
23,3 Jun 2027 00:36:00.491,3 Jun 2027 00:46:32.355,631.864
24,3 Jun 2027 02:09:53.464,3 Jun 2027 02:22:17.211,743.747
25,3 Jun 2027 03:45:20.040,3 Jun 2027 03:58:12.762,772.722
26,3 Jun 2027 05:22:59.275,3 Jun 2027 05:33:57.460,658.185
27,3 Jun 2027 07:04:38.477,3 Jun 2027 07:08:03.691,205.214
28,3 Jun 2027 13:44:08.280,3 Jun 2027 13:46:47.881,159.601
29,3 Jun 2027 15:17:58.145,3 Jun 2027 15:28:48.752,650.607
30,3 Jun 2027 16:53:41.899,3 Jun 2027 17:06:33.446,771.547
31,3 Jun 2027 18:29:37.461,3 Jun 2027 18:42:03.949,746.488
32,3 Jun 2027 20:05:23.073,3 Jun 2027 20:15:59.392,636.319
33,3 Jun 2027 21:40:30.203,3 Jun 2027 21:49:16.755,526.552
34,3 Jun 2027 23:14:25.491,3 Jun 2027 23:23:18.697,533.206
35,4 Jun 2027 00:47:42.950,4 Jun 2027 00:58:30.957,648.006
36,4 Jun 2027 02:21:45.211,4 Jun 2027 02:34:18.403,753.192
37,4 Jun 2027 03:57:26.243,4 Jun 2027 04:10:13.876,767.633
38,4 Jun 2027 05:35:25.715,4 Jun 2027 05:45:54.870,629.155
