Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 04:07:48.044,1 Jun 2027 04:18:42.455,654.411
2,1 Jun 2027 05:42:34.700,1 Jun 2027 05:54:54.660,739.961
3,1 Jun 2027 16:00:07.862,1 Jun 2027 16:01:44.264,96.403
4,1 Jun 2027 17:31:02.972,1 Jun 2027 17:43:44.668,761.697
5,1 Jun 2027 19:07:49.792,1 Jun 2027 19:17:31.866,582.074
6,2 Jun 2027 04:19:21.910,2 Jun 2027 04:30:56.945,695.036
7,2 Jun 2027 05:54:51.638,2 Jun 2027 06:06:44.173,712.535
8,2 Jun 2027 16:10:01.189,2 Jun 2027 16:16:10.241,369.052
9,2 Jun 2027 17:43:00.463,2 Jun 2027 17:55:48.628,768.165
10,2 Jun 2027 19:20:17.256,2 Jun 2027 19:28:46.420,509.164
11,3 Jun 2027 04:31:01.932,3 Jun 2027 04:43:07.799,725.867
12,3 Jun 2027 06:07:15.262,3 Jun 2027 06:18:29.171,673.909
13,3 Jun 2027 16:21:06.442,3 Jun 2027 16:29:21.792,495.350
14,3 Jun 2027 17:55:00.830,3 Jun 2027 18:07:47.519,766.688
15,3 Jun 2027 19:32:55.542,3 Jun 2027 19:39:47.211,411.670
16,4 Jun 2027 03:13:46.161,4 Jun 2027 03:14:56.674,70.512
17,4 Jun 2027 04:42:47.521,4 Jun 2027 04:55:15.510,747.989
18,4 Jun 2027 06:19:46.875,4 Jun 2027 06:30:08.358,621.483
19,4 Jun 2027 16:32:30.667,4 Jun 2027 16:42:11.992,581.325
20,4 Jun 2027 18:07:03.983,4 Jun 2027 18:19:41.391,757.408
21,4 Jun 2027 19:45:57.246,4 Jun 2027 19:50:21.484,264.238
22,5 Jun 2027 03:23:22.280,5 Jun 2027 03:28:54.595,332.316
23,5 Jun 2027 04:54:38.328,5 Jun 2027 05:07:20.344,762.015
24,5 Jun 2027 06:32:28.807,5 Jun 2027 06:41:39.459,550.652
25,5 Jun 2027 16:44:05.352,5 Jun 2027 16:54:49.458,644.107
26,5 Jun 2027 18:19:09.928,5 Jun 2027 18:31:30.162,740.234
27,6 Jun 2027 03:34:09.985,6 Jun 2027 03:41:44.113,454.128
28,6 Jun 2027 05:06:34.188,6 Jun 2027 05:19:22.397,768.210
29,6 Jun 2027 06:45:25.874,6 Jun 2027 06:52:57.742,451.869
30,6 Jun 2027 16:55:47.038,6 Jun 2027 17:07:17.699,690.662
31,6 Jun 2027 18:31:18.839,6 Jun 2027 18:43:13.601,714.762
32,7 Jun 2027 03:45:16.991,7 Jun 2027 03:54:17.367,540.377
33,7 Jun 2027 05:18:35.071,7 Jun 2027 05:31:21.640,766.569
34,7 Jun 2027 06:58:52.268,7 Jun 2027 07:03:49.109,296.841
35,7 Jun 2027 17:07:33.943,7 Jun 2027 17:19:38.555,724.612
36,7 Jun 2027 18:43:31.052,7 Jun 2027 18:54:51.275,680.223
37,8 Jun 2027 03:56:35.659,8 Jun 2027 04:06:41.847,606.188
38,8 Jun 2027 05:30:41.090,8 Jun 2027 05:43:17.926,756.836
39,8 Jun 2027 17:19:25.011,8 Jun 2027 17:31:53.099,748.088
40,8 Jun 2027 18:55:47.173,8 Jun 2027 19:06:22.472,635.299
41,9 Jun 2027 04:08:02.943,9 Jun 2027 04:19:00.463,657.519
42,9 Jun 2027 05:42:52.527,9 Jun 2027 05:55:10.942,738.414
43,9 Jun 2027 16:00:05.861,9 Jun 2027 16:02:21.440,135.579
44,9 Jun 2027 17:31:19.595,9 Jun 2027 17:44:01.978,762.383
45,9 Jun 2027 19:08:08.256,9 Jun 2027 19:17:46.020,577.764
46,10 Jun 2027 04:19:37.246,10 Jun 2027 04:31:14.677,697.431
47,10 Jun 2027 05:55:09.895,10 Jun 2027 06:07:00.173,710.279
48,10 Jun 2027 16:10:13.436,10 Jun 2027 16:16:32.989,379.552
49,10 Jun 2027 17:43:17.278,10 Jun 2027 17:56:05.588,768.310
50,10 Jun 2027 19:20:36.274,10 Jun 2027 19:28:59.820,503.545
51,11 Jun 2027 04:31:17.661,11 Jun 2027 04:43:25.301,727.640
52,11 Jun 2027 06:07:34.008,11 Jun 2027 06:18:44.822,670.814
53,11 Jun 2027 16:21:20.489,11 Jun 2027 16:29:42.570,502.081
54,11 Jun 2027 17:55:17.832,11 Jun 2027 18:08:04.140,766.308
55,11 Jun 2027 19:33:15.541,11 Jun 2027 19:39:59.417,403.876
56,12 Jun 2027 03:13:41.531,12 Jun 2027 03:15:33.219,111.687
57,12 Jun 2027 04:43:03.612,12 Jun 2027 04:55:32.806,749.195
58,12 Jun 2027 06:20:06.227,12 Jun 2027 06:30:23.544,617.317
59,12 Jun 2027 16:32:45.583,12 Jun 2027 16:42:31.738,586.155
60,12 Jun 2027 18:07:21.166,12 Jun 2027 18:19:57.672,756.505
61,12 Jun 2027 19:46:20.041,12 Jun 2027 19:50:30.681,250.641
62,13 Jun 2027 03:23:33.269,13 Jun 2027 03:29:15.737,342.468
63,13 Jun 2027 04:54:54.764,13 Jun 2027 05:07:37.444,762.680
64,13 Jun 2027 06:32:48.990,13 Jun 2027 06:41:53.963,544.973
65,13 Jun 2027 16:44:20.818,13 Jun 2027 16:55:08.500,647.683
66,13 Jun 2027 18:19:27.300,13 Jun 2027 18:31:46.091,738.792
