Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 05:43:01.302,1 Jun 2027 05:44:31.555,90.253
2,1 Jun 2027 07:12:15.835,1 Jun 2027 07:24:51.916,756.081
3,1 Jun 2027 08:49:56.245,1 Jun 2027 08:59:04.720,548.476
4,1 Jun 2027 19:04:17.437,1 Jun 2027 19:15:08.436,650.999
5,1 Jun 2027 20:39:25.364,1 Jun 2027 20:51:30.623,725.259
6,2 Jun 2027 05:52:40.311,2 Jun 2027 05:58:28.468,348.156
7,2 Jun 2027 07:24:09.123,2 Jun 2027 07:36:54.735,765.612
8,2 Jun 2027 09:02:53.978,2 Jun 2027 09:10:18.246,444.268
9,2 Jun 2027 19:15:57.730,2 Jun 2027 19:27:34.706,696.975
10,2 Jun 2027 20:51:36.999,2 Jun 2027 21:03:09.705,692.706
11,3 Jun 2027 06:03:28.127,3 Jun 2027 06:11:19.653,471.526
12,3 Jun 2027 07:36:07.700,3 Jun 2027 07:48:54.278,766.578
13,3 Jun 2027 09:16:25.431,3 Jun 2027 09:21:00.025,274.594
14,3 Jun 2027 19:27:43.663,3 Jun 2027 19:39:53.494,729.831
15,3 Jun 2027 21:03:53.004,3 Jun 2027 21:14:42.068,649.064
16,4 Jun 2027 06:14:35.832,4 Jun 2027 06:23:53.844,558.013
17,4 Jun 2027 07:48:11.610,4 Jun 2027 08:00:50.426,758.816
18,4 Jun 2027 19:39:34.158,4 Jun 2027 19:52:05.867,751.709
19,4 Jun 2027 21:16:14.497,4 Jun 2027 21:26:06.445,591.947
20,5 Jun 2027 06:25:55.604,5 Jun 2027 06:36:18.685,623.082
21,5 Jun 2027 08:00:21.109,5 Jun 2027 08:12:42.893,741.783
22,5 Jun 2027 18:20:48.300,5 Jun 2027 18:22:21.837,93.537
23,5 Jun 2027 19:51:28.552,5 Jun 2027 20:04:12.463,763.911
24,5 Jun 2027 21:28:43.590,5 Jun 2027 21:37:20.597,517.007
25,6 Jun 2027 06:37:24.267,6 Jun 2027 06:48:37.186,672.919
26,6 Jun 2027 08:12:36.663,6 Jun 2027 08:24:31.151,714.489
27,6 Jun 2027 18:30:34.914,6 Jun 2027 18:36:49.440,374.526
28,6 Jun 2027 20:03:26.467,6 Jun 2027 20:16:13.624,767.157
29,6 Jun 2027 21:41:24.919,6 Jun 2027 21:48:19.705,414.785
30,7 Jun 2027 06:49:00.189,7 Jun 2027 07:00:50.849,710.660
31,7 Jun 2027 08:24:59.111,7 Jun 2027 08:36:14.372,675.260
32,7 Jun 2027 18:41:36.989,7 Jun 2027 18:49:59.575,502.586
33,7 Jun 2027 20:15:27.691,7 Jun 2027 20:28:09.495,761.804
34,7 Jun 2027 21:54:33.776,7 Jun 2027 21:58:48.300,254.524
35,8 Jun 2027 07:00:42.408,8 Jun 2027 07:13:00.505,738.097
36,8 Jun 2027 08:37:29.867,8 Jun 2027 08:47:51.132,621.265
37,8 Jun 2027 18:52:58.878,8 Jun 2027 19:02:47.965,589.087
38,8 Jun 2027 20:27:32.204,8 Jun 2027 20:40:00.043,747.839
39,9 Jun 2027 05:43:11.842,9 Jun 2027 05:44:49.968,98.126
40,9 Jun 2027 07:12:30.358,9 Jun 2027 07:25:06.611,756.254
41,9 Jun 2027 08:50:11.490,9 Jun 2027 08:59:18.886,547.395
42,9 Jun 2027 19:04:31.787,9 Jun 2027 19:15:23.457,651.670
43,9 Jun 2027 20:39:40.126,9 Jun 2027 20:51:45.039,724.912
44,10 Jun 2027 05:52:53.852,10 Jun 2027 05:58:43.923,350.072
45,10 Jun 2027 07:24:23.712,10 Jun 2027 07:37:09.389,765.677
46,10 Jun 2027 09:03:09.490,10 Jun 2027 09:10:32.169,442.679
47,10 Jun 2027 19:16:12.161,10 Jun 2027 19:27:49.624,697.463
48,10 Jun 2027 20:51:51.811,10 Jun 2027 21:03:24.042,692.231
49,11 Jun 2027 06:03:42.014,11 Jun 2027 06:11:34.799,472.784
50,11 Jun 2027 07:36:22.355,11 Jun 2027 07:49:08.891,766.535
51,11 Jun 2027 09:16:41.670,11 Jun 2027 09:21:13.244,271.574
52,11 Jun 2027 19:27:58.157,11 Jun 2027 19:40:08.326,730.169
53,11 Jun 2027 21:04:07.871,11 Jun 2027 21:14:56.313,648.442
54,12 Jun 2027 06:14:49.901,12 Jun 2027 06:24:08.843,558.942
55,12 Jun 2027 07:48:26.335,12 Jun 2027 08:01:04.994,758.659
56,12 Jun 2027 19:39:48.704,12 Jun 2027 19:52:20.623,751.919
57,12 Jun 2027 21:16:29.447,12 Jun 2027 21:26:20.579,591.132
58,13 Jun 2027 06:26:09.800,13 Jun 2027 06:36:33.592,623.792
59,13 Jun 2027 08:00:35.905,13 Jun 2027 08:12:57.412,741.507
60,13 Jun 2027 18:20:58.525,13 Jun 2027 18:22:41.082,102.556
61,13 Jun 2027 19:51:43.144,13 Jun 2027 20:04:27.150,764.006
62,13 Jun 2027 21:28:58.656,13 Jun 2027 21:37:34.582,515.926
