Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:46:33.880,1 Jun 2027 00:58:49.645,735.765
2,1 Jun 2027 02:22:22.566,1 Jun 2027 02:34:47.197,744.630
3,1 Jun 2027 03:59:08.844,1 Jun 2027 04:07:20.275,491.431
4,1 Jun 2027 10:11:23.993,1 Jun 2027 10:19:56.856,512.863
5,1 Jun 2027 11:44:08.667,1 Jun 2027 11:56:39.263,750.596
6,1 Jun 2027 13:20:17.430,1 Jun 2027 13:32:24.600,727.170
7,1 Jun 2027 15:02:16.755,1 Jun 2027 15:05:00.369,163.614
8,1 Jun 2027 23:24:28.339,1 Jun 2027 23:31:02.535,394.196
9,2 Jun 2027 00:58:31.025,2 Jun 2027 01:11:03.493,752.467
10,2 Jun 2027 02:34:27.218,2 Jun 2027 02:46:34.803,727.584
11,2 Jun 2027 04:11:24.161,2 Jun 2027 04:18:38.738,434.577
12,2 Jun 2027 10:22:49.191,2 Jun 2027 10:32:08.719,559.528
13,2 Jun 2027 11:56:00.692,2 Jun 2027 12:08:42.812,762.120
14,2 Jun 2027 13:32:37.096,2 Jun 2027 13:44:19.467,702.371
15,2 Jun 2027 23:35:57.635,2 Jun 2027 23:44:03.079,485.444
16,3 Jun 2027 01:10:29.482,3 Jun 2027 01:23:13.584,764.101
17,3 Jun 2027 02:46:32.666,3 Jun 2027 02:58:19.278,706.612
18,3 Jun 2027 04:23:43.428,3 Jun 2027 04:29:50.989,367.561
19,3 Jun 2027 10:34:18.406,3 Jun 2027 10:44:18.888,600.482
20,3 Jun 2027 12:07:55.839,3 Jun 2027 12:20:45.571,769.732
21,3 Jun 2027 13:45:01.375,3 Jun 2027 13:56:12.298,670.923
22,3 Jun 2027 23:47:36.540,3 Jun 2027 23:56:50.970,554.430
23,4 Jun 2027 01:22:29.066,4 Jun 2027 01:35:20.141,771.075
24,4 Jun 2027 02:58:38.954,4 Jun 2027 03:10:00.573,681.619
25,4 Jun 2027 04:36:09.632,4 Jun 2027 04:40:54.070,284.437
26,4 Jun 2027 09:16:59.150,4 Jun 2027 09:17:22.669,23.519
27,4 Jun 2027 10:45:51.311,4 Jun 2027 10:56:27.710,636.398
28,4 Jun 2027 12:19:54.149,4 Jun 2027 12:32:47.510,773.361
29,4 Jun 2027 13:57:30.877,4 Jun 2027 14:08:02.551,631.674
30,4 Jun 2027 23:59:21.267,5 Jun 2027 00:09:30.144,608.876
31,5 Jun 2027 01:34:29.661,5 Jun 2027 01:47:23.306,773.645
32,5 Jun 2027 03:10:46.158,5 Jun 2027 03:21:38.600,652.442
33,5 Jun 2027 04:48:53.336,5 Jun 2027 04:51:37.491,164.154
34,5 Jun 2027 09:26:57.593,5 Jun 2027 09:30:50.312,232.719
35,5 Jun 2027 10:57:27.682,5 Jun 2027 11:08:35.418,667.736
36,5 Jun 2027 12:31:55.684,5 Jun 2027 12:44:48.566,772.882
37,5 Jun 2027 14:10:06.531,5 Jun 2027 14:19:49.402,582.871
38,6 Jun 2027 00:11:09.974,6 Jun 2027 00:22:02.540,652.566
39,6 Jun 2027 01:46:31.173,6 Jun 2027 01:59:23.203,772.029
40,6 Jun 2027 03:22:54.400,6 Jun 2027 03:33:13.250,618.850
41,6 Jun 2027 09:37:53.474,6 Jun 2027 09:43:22.638,329.164
42,6 Jun 2027 11:09:07.371,6 Jun 2027 11:20:42.152,694.781
43,6 Jun 2027 12:44:00.548,6 Jun 2027 12:56:48.659,768.111
44,6 Jun 2027 14:22:49.796,6 Jun 2027 14:31:31.481,521.685
45,7 Jun 2027 00:23:01.611,7 Jun 2027 00:34:29.315,687.703
46,7 Jun 2027 01:58:33.525,7 Jun 2027 02:11:19.910,766.385
47,7 Jun 2027 03:35:03.860,7 Jun 2027 03:44:44.328,580.468
48,7 Jun 2027 09:49:01.750,7 Jun 2027 09:55:44.772,403.022
49,7 Jun 2027 11:20:50.278,7 Jun 2027 11:32:48.006,717.728
50,7 Jun 2027 12:56:08.871,7 Jun 2027 13:08:47.692,758.821
51,7 Jun 2027 14:35:43.378,7 Jun 2027 14:43:06.204,442.826
52,8 Jun 2027 00:34:55.529,8 Jun 2027 00:46:51.197,715.668
53,8 Jun 2027 02:10:36.686,8 Jun 2027 02:23:13.478,756.793
