Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:58:17.270,1 Jun 2027 01:09:31.449,674.179
2,1 Jun 2027 02:34:24.999,1 Jun 2027 02:41:55.020,450.021
3,1 Jun 2027 04:09:57.065,1 Jun 2027 04:13:31.568,214.502
4,1 Jun 2027 05:42:18.721,1 Jun 2027 05:48:03.045,344.324
5,1 Jun 2027 07:14:08.401,1 Jun 2027 07:24:06.043,597.642
6,1 Jun 2027 08:47:41.067,1 Jun 2027 09:00:13.589,752.522
7,1 Jun 2027 10:23:34.345,1 Jun 2027 10:36:07.849,753.504
8,1 Jun 2027 12:02:42.610,1 Jun 2027 12:11:10.160,507.550
9,1 Jun 2027 20:24:09.948,1 Jun 2027 20:29:52.656,342.708
10,1 Jun 2027 21:58:28.250,1 Jun 2027 22:10:27.802,719.552
11,1 Jun 2027 23:34:15.010,1 Jun 2027 23:47:04.901,769.890
12,2 Jun 2027 01:10:20.650,2 Jun 2027 01:21:12.276,651.626
13,2 Jun 2027 02:46:27.445,2 Jun 2027 02:53:23.714,416.269
14,2 Jun 2027 04:21:44.610,2 Jun 2027 04:25:08.942,204.332
15,2 Jun 2027 05:53:46.084,2 Jun 2027 06:00:04.295,378.211
16,2 Jun 2027 07:25:45.291,2 Jun 2027 07:36:09.456,624.166
17,2 Jun 2027 08:59:34.092,2 Jun 2027 09:12:16.230,762.137
18,2 Jun 2027 10:35:47.625,2 Jun 2027 10:48:07.260,739.634
19,2 Jun 2027 12:15:32.315,2 Jun 2027 12:22:53.074,440.759
20,2 Jun 2027 20:35:43.272,2 Jun 2027 20:42:55.174,431.902
21,2 Jun 2027 22:10:26.778,2 Jun 2027 22:22:44.539,737.762
22,2 Jun 2027 23:46:17.395,2 Jun 2027 23:59:00.492,763.098
23,3 Jun 2027 01:22:24.053,3 Jun 2027 01:32:51.203,627.149
24,3 Jun 2027 02:58:29.416,3 Jun 2027 03:04:51.623,382.207
25,3 Jun 2027 04:33:27.298,3 Jun 2027 04:36:51.084,203.786
26,3 Jun 2027 06:05:13.904,3 Jun 2027 06:12:06.224,412.320
27,3 Jun 2027 07:37:23.999,3 Jun 2027 07:48:12.872,648.872
28,3 Jun 2027 09:11:29.412,3 Jun 2027 09:24:18.639,769.227
29,3 Jun 2027 10:48:03.995,3 Jun 2027 11:00:05.881,721.887
30,3 Jun 2027 12:28:33.139,3 Jun 2027 12:34:27.748,354.610
31,3 Jun 2027 20:47:25.471,3 Jun 2027 20:55:45.933,500.461
32,3 Jun 2027 22:22:26.104,3 Jun 2027 22:34:58.172,752.068
33,3 Jun 2027 23:58:20.004,4 Jun 2027 00:10:53.785,753.780
34,4 Jun 2027 01:34:27.463,4 Jun 2027 01:44:28.310,600.847
35,4 Jun 2027 03:10:30.737,4 Jun 2027 03:16:19.037,348.300
36,4 Jun 2027 04:45:05.163,4 Jun 2027 04:48:38.119,212.956
37,4 Jun 2027 06:16:42.479,4 Jun 2027 06:24:08.632,446.153
38,4 Jun 2027 07:49:04.598,4 Jun 2027 08:00:16.262,671.665
39,4 Jun 2027 09:23:27.084,4 Jun 2027 09:36:20.780,773.696
40,4 Jun 2027 11:00:23.668,4 Jun 2027 11:12:03.561,699.893
41,4 Jun 2027 12:41:55.361,4 Jun 2027 12:45:43.993,228.632
42,4 Jun 2027 20:59:12.809,4 Jun 2027 21:08:28.764,555.955
43,4 Jun 2027 22:34:26.099,4 Jun 2027 22:47:08.865,762.766
44,5 Jun 2027 00:10:22.817,5 Jun 2027 00:22:44.830,742.012
45,5 Jun 2027 01:46:30.841,5 Jun 2027 01:56:03.673,572.832
