Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 01:24:27.492,1 Jun 2027 01:31:34.706,427.214
2,1 Jun 2027 06:04:35.547,1 Jun 2027 06:10:41.853,366.306
3,1 Jun 2027 07:36:11.742,1 Jun 2027 07:47:29.561,677.819
4,1 Jun 2027 09:10:42.997,1 Jun 2027 09:23:37.121,774.124
5,1 Jun 2027 10:48:28.055,1 Jun 2027 10:58:55.135,627.080
6,1 Jun 2027 20:48:28.983,1 Jun 2027 20:58:50.943,621.960
7,1 Jun 2027 22:23:45.689,1 Jun 2027 22:36:39.649,773.960
8,1 Jun 2027 23:59:52.737,2 Jun 2027 00:11:13.551,680.814
9,2 Jun 2027 01:36:39.391,2 Jun 2027 01:42:52.761,373.369
10,2 Jun 2027 06:15:53.094,2 Jun 2027 06:22:54.047,420.954
11,2 Jun 2027 07:47:53.165,2 Jun 2027 07:59:34.077,700.912
12,2 Jun 2027 09:22:46.143,2 Jun 2027 09:35:37.385,771.243
13,2 Jun 2027 11:01:02.283,2 Jun 2027 11:10:43.651,581.368
14,2 Jun 2027 21:00:20.006,2 Jun 2027 21:11:20.336,660.330
15,2 Jun 2027 22:35:46.540,2 Jun 2027 22:48:40.245,773.706
16,3 Jun 2027 00:11:57.702,3 Jun 2027 00:22:52.654,654.953
17,3 Jun 2027 01:48:54.265,3 Jun 2027 01:54:06.053,311.789
18,3 Jun 2027 06:27:14.515,3 Jun 2027 06:35:04.231,469.716
19,3 Jun 2027 07:59:37.222,3 Jun 2027 08:11:38.106,720.884
20,3 Jun 2027 09:34:52.296,3 Jun 2027 09:47:36.901,764.606
21,3 Jun 2027 11:13:43.125,3 Jun 2027 11:22:28.280,525.155
22,3 Jun 2027 21:12:13.245,3 Jun 2027 21:23:44.946,691.701
23,3 Jun 2027 22:47:47.992,3 Jun 2027 23:00:38.017,770.025
24,4 Jun 2027 00:24:03.202,4 Jun 2027 00:34:29.100,625.898
25,4 Jun 2027 02:01:14.537,4 Jun 2027 02:05:12.252,237.715
26,4 Jun 2027 06:38:39.271,4 Jun 2027 06:47:13.005,513.733
27,4 Jun 2027 08:11:23.913,4 Jun 2027 08:23:41.667,737.753
