Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:00:01.000,1 Jun 2027 00:06:54.237,413.237
2,1 Jun 2027 01:29:48.298,1 Jun 2027 01:41:40.091,711.792
3,1 Jun 2027 03:05:02.934,1 Jun 2027 03:15:46.102,643.168
4,1 Jun 2027 04:39:33.369,1 Jun 2027 04:50:05.742,632.373
5,1 Jun 2027 06:13:37.924,1 Jun 2027 06:25:09.069,691.145
6,1 Jun 2027 07:48:08.064,1 Jun 2027 08:00:47.438,759.374
7,1 Jun 2027 09:23:50.469,1 Jun 2027 09:36:42.672,772.203
8,1 Jun 2027 11:01:18.557,1 Jun 2027 11:12:39.477,680.919
9,1 Jun 2027 12:41:15.513,1 Jun 2027 12:48:09.634,414.120
10,1 Jun 2027 19:18:54.432,1 Jun 2027 19:24:40.673,346.241
11,1 Jun 2027 20:54:12.680,1 Jun 2027 21:05:08.408,655.728
12,1 Jun 2027 22:30:08.209,1 Jun 2027 22:42:54.699,766.490
13,2 Jun 2027 00:06:04.618,2 Jun 2027 00:18:50.584,765.966
14,2 Jun 2027 01:41:46.504,2 Jun 2027 01:53:28.777,702.273
15,2 Jun 2027 03:16:56.055,2 Jun 2027 03:27:33.594,637.540
16,2 Jun 2027 04:51:21.281,2 Jun 2027 05:01:57.990,636.709
17,2 Jun 2027 06:25:25.988,2 Jun 2027 06:37:06.675,700.687
18,2 Jun 2027 08:00:02.978,2 Jun 2027 08:12:48.086,765.108
19,2 Jun 2027 09:35:56.913,2 Jun 2027 09:48:44.348,767.435
20,2 Jun 2027 11:13:40.575,2 Jun 2027 11:24:40.096,659.521
21,2 Jun 2027 12:54:03.612,2 Jun 2027 13:00:00.353,356.741
22,2 Jun 2027 19:30:44.484,2 Jun 2027 19:37:29.782,405.298
23,2 Jun 2027 21:06:13.235,2 Jun 2027 21:17:30.810,677.574
24,2 Jun 2027 22:42:09.891,2 Jun 2027 22:55:01.422,771.531
25,3 Jun 2027 00:18:05.311,3 Jun 2027 00:30:45.695,760.385
26,3 Jun 2027 01:53:44.203,3 Jun 2027 02:05:16.919,692.716
27,3 Jun 2027 03:28:48.430,3 Jun 2027 03:39:21.435,633.005
28,3 Jun 2027 05:03:08.822,3 Jun 2027 05:13:50.988,642.166
29,3 Jun 2027 06:37:14.574,3 Jun 2027 06:49:04.802,710.228
30,3 Jun 2027 08:11:59.117,3 Jun 2027 08:24:48.966,769.849
31,3 Jun 2027 09:48:05.068,3 Jun 2027 10:00:46.031,760.963
32,3 Jun 2027 11:26:04.932,3 Jun 2027 11:36:40.327,635.395
33,3 Jun 2027 13:06:58.980,3 Jun 2027 13:11:45.876,286.896
34,3 Jun 2027 19:42:37.850,3 Jun 2027 19:50:13.499,455.649
35,3 Jun 2027 21:18:14.117,3 Jun 2027 21:29:50.960,696.843
36,3 Jun 2027 22:54:11.541,3 Jun 2027 23:07:06.483,774.942
37,4 Jun 2027 00:30:05.755,4 Jun 2027 00:42:39.640,753.885
38,4 Jun 2027 02:05:41.353,4 Jun 2027 02:17:04.626,683.272
39,4 Jun 2027 03:40:40.055,4 Jun 2027 03:51:09.723,629.667
40,4 Jun 2027 05:14:56.102,4 Jun 2027 05:25:44.732,648.630
41,4 Jun 2027 06:49:03.796,4 Jun 2027 07:01:03.396,719.600
42,4 Jun 2027 08:23:56.547,4 Jun 2027 08:36:50.047,773.500
43,4 Jun 2027 10:00:15.000,4 Jun 2027 10:12:47.682,752.682
44,4 Jun 2027 11:38:31.760,4 Jun 2027 11:48:40.064,608.304
45,4 Jun 2027 13:20:07.689,4 Jun 2027 13:23:20.108,192.419
46,4 Jun 2027 19:54:33.382,4 Jun 2027 20:02:52.988,499.606
47,4 Jun 2027 21:30:15.247,4 Jun 2027 21:42:08.961,713.714
48,4 Jun 2027 23:06:13.136,4 Jun 2027 23:19:09.936,776.800
49,5 Jun 2027 00:42:05.907,5 Jun 2027 00:54:32.489,746.583
50,5 Jun 2027 02:17:37.919,5 Jun 2027 02:28:52.009,674.089
51,5 Jun 2027 03:52:30.945,5 Jun 2027 04:02:58.538,627.592
52,5 Jun 2027 05:26:43.227,5 Jun 2027 05:37:39.200,655.973
53,5 Jun 2027 07:00:53.749,5 Jun 2027 07:13:02.427,728.678
54,5 Jun 2027 08:35:55.339,5 Jun 2027 08:48:51.289,775.950
55,5 Jun 2027 10:12:26.759,5 Jun 2027 10:24:49.269,742.509
56,5 Jun 2027 11:51:01.221,5 Jun 2027 12:00:39.172,577.951
57,5 Jun 2027 20:06:30.419,5 Jun 2027 20:15:28.903,538.484
58,5 Jun 2027 21:42:16.576,5 Jun 2027 21:54:24.898,728.322
59,5 Jun 2027 23:18:14.651,5 Jun 2027 23:31:11.852,777.201
60,6 Jun 2027 00:54:05.749,6 Jun 2027 01:06:24.331,738.582
61,6 Jun 2027 02:29:33.856,6 Jun 2027 02:40:39.182,665.326
62,6 Jun 2027 04:04:21.128,6 Jun 2027 04:14:47.956,626.829
63,6 Jun 2027 05:38:30.309,6 Jun 2027 05:49:34.368,664.059
64,6 Jun 2027 07:12:44.529,6 Jun 2027 07:25:01.859,737.330
65,6 Jun 2027 08:47:55.543,6 Jun 2027 09:00:52.679,777.136
66,6 Jun 2027 10:24:40.424,6 Jun 2027 10:36:50.760,730.336
67,6 Jun 2027 12:03:33.516,6 Jun 2027 12:12:37.468,543.951
68,6 Jun 2027 20:18:28.576,6 Jun 2027 20:28:01.648,573.072
69,6 Jun 2027 21:54:18.048,6 Jun 2027 22:06:38.853,740.804
70,6 Jun 2027 23:30:16.059,6 Jun 2027 23:43:12.271,776.212
71,7 Jun 2027 01:06:05.229,7 Jun 2027 01:18:15.245,730.016
72,7 Jun 2027 02:41:29.123,7 Jun 2027 02:52:26.265,657.142
73,7 Jun 2027 04:16:10.643,7 Jun 2027 04:26:38.034,627.391
74,7 Jun 2027 05:50:17.464,7 Jun 2027 06:01:30.201,672.737
75,7 Jun 2027 07:24:36.228,7 Jun 2027 07:37:01.645,745.416
76,7 Jun 2027 08:59:57.227,7 Jun 2027 09:12:54.176,776.949
77,7 Jun 2027 10:36:56.058,7 Jun 2027 10:48:52.115,716.057
78,7 Jun 2027 12:16:08.921,7 Jun 2027 12:24:34.707,505.786
79,7 Jun 2027 18:55:53.423,7 Jun 2027 18:58:47.226,173.804
80,7 Jun 2027 20:30:27.573,7 Jun 2027 20:40:31.524,603.950
81,7 Jun 2027 22:06:19.621,7 Jun 2027 22:18:50.897,751.277
82,7 Jun 2027 23:42:17.328,7 Jun 2027 23:55:11.268,773.941
83,8 Jun 2027 01:18:04.323,8 Jun 2027 01:30:05.311,720.988
84,8 Jun 2027 02:53:23.704,8 Jun 2027 03:04:13.373,649.669
85,8 Jun 2027 04:27:59.548,8 Jun 2027 04:38:28.814,629.265
86,8 Jun 2027 06:02:04.809,8 Jun 2027 06:13:26.672,681.863
87,8 Jun 2027 07:36:28.919,8 Jun 2027 07:49:01.754,752.835
88,8 Jun 2027 09:12:00.447,8 Jun 2027 09:24:55.761,775.315
89,8 Jun 2027 10:49:13.741,8 Jun 2027 11:00:53.277,699.536
90,8 Jun 2027 12:28:47.832,8 Jun 2027 12:36:30.500,462.668
91,8 Jun 2027 19:07:24.552,8 Jun 2027 19:11:59.343,274.792
92,8 Jun 2027 20:42:27.225,8 Jun 2027 20:52:58.740,631.515
93,8 Jun 2027 22:18:21.267,8 Jun 2027 22:31:01.099,759.832
94,8 Jun 2027 23:54:18.428,9 Jun 2027 00:07:08.899,770.470
95,9 Jun 2027 01:30:02.990,9 Jun 2027 01:41:54.637,711.647
96,9 Jun 2027 03:05:17.557,9 Jun 2027 03:16:00.623,643.066
97,9 Jun 2027 04:39:47.912,9 Jun 2027 04:50:20.325,632.413
98,9 Jun 2027 06:13:52.465,9 Jun 2027 06:25:23.732,691.267
99,9 Jun 2027 07:48:22.699,9 Jun 2027 08:01:02.149,759.450
100,9 Jun 2027 09:24:05.257,9 Jun 2027 09:36:57.407,772.150
101,9 Jun 2027 11:01:33.555,9 Jun 2027 11:12:54.204,680.648
102,9 Jun 2027 12:41:30.853,9 Jun 2027 12:48:24.254,413.401
103,9 Jun 2027 19:19:08.946,9 Jun 2027 19:24:56.146,347.200
104,9 Jun 2027 20:54:27.383,9 Jun 2027 21:05:23.462,656.079
105,9 Jun 2027 22:30:22.944,9 Jun 2027 22:43:09.513,766.569
106,10 Jun 2027 00:06:19.343,10 Jun 2027 00:19:05.227,765.885
107,10 Jun 2027 01:42:01.192,10 Jun 2027 01:53:43.318,702.126
108,10 Jun 2027 03:17:10.670,10 Jun 2027 03:27:48.122,637.452
109,10 Jun 2027 04:51:35.822,10 Jun 2027 05:02:12.586,636.764
110,10 Jun 2027 06:25:40.535,10 Jun 2027 06:37:21.353,700.818
111,10 Jun 2027 08:00:17.629,10 Jun 2027 08:13:02.810,765.181
112,10 Jun 2027 09:36:11.726,10 Jun 2027 09:48:59.088,767.362
113,10 Jun 2027 11:13:55.610,10 Jun 2027 11:24:54.814,659.204
114,10 Jun 2027 12:54:19.034,10 Jun 2027 13:00:14.921,355.888
115,10 Jun 2027 19:30:59.064,10 Jun 2027 19:37:45.160,406.097
116,10 Jun 2027 21:06:27.949,10 Jun 2027 21:17:45.825,677.875
117,10 Jun 2027 22:42:24.623,10 Jun 2027 22:55:16.215,771.593
118,11 Jun 2027 00:18:20.030,11 Jun 2027 00:31:00.325,760.295
119,11 Jun 2027 01:53:58.879,11 Jun 2027 02:05:31.452,692.573
120,11 Jun 2027 03:29:03.030,11 Jun 2027 03:39:35.968,632.938
121,11 Jun 2027 05:03:23.357,11 Jun 2027 05:14:05.597,642.240
122,11 Jun 2027 06:37:29.129,11 Jun 2027 06:49:19.485,710.356
123,11 Jun 2027 08:12:13.781,11 Jun 2027 08:25:03.688,769.907
124,11 Jun 2027 09:48:19.905,11 Jun 2027 10:01:00.766,760.862
125,11 Jun 2027 11:26:20.001,11 Jun 2027 11:36:55.043,635.042
126,11 Jun 2027 13:07:14.528,11 Jun 2027 13:12:00.345,285.816
127,11 Jun 2027 19:42:52.475,11 Jun 2027 19:50:28.807,456.332
128,11 Jun 2027 21:18:28.836,11 Jun 2027 21:30:05.943,697.107
129,11 Jun 2027 22:54:26.273,11 Jun 2027 23:07:21.253,774.980
130,12 Jun 2027 00:30:20.470,12 Jun 2027 00:42:54.253,753.784
131,12 Jun 2027 02:05:56.022,12 Jun 2027 02:17:19.154,683.132
132,12 Jun 2027 03:40:54.645,12 Jun 2027 03:51:24.264,629.619
133,12 Jun 2027 05:15:10.634,12 Jun 2027 05:25:59.353,648.719
134,12 Jun 2027 06:49:18.360,12 Jun 2027 07:01:18.086,719.726
135,12 Jun 2027 08:24:11.230,12 Jun 2027 08:37:04.773,773.543
136,12 Jun 2027 10:00:29.862,12 Jun 2027 10:13:02.417,752.555
137,12 Jun 2027 11:38:46.865,12 Jun 2027 11:48:54.772,607.907
138,12 Jun 2027 13:20:23.524,12 Jun 2027 13:23:34.319,190.795
