Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 00:17:16.593,1 Jun 2027 00:30:09.136,772.543
2,1 Jun 2027 01:53:12.559,1 Jun 2027 02:05:54.486,761.927
3,1 Jun 2027 03:28:50.716,1 Jun 2027 03:40:32.438,701.722
4,1 Jun 2027 05:03:55.446,1 Jun 2027 05:14:46.745,651.300
5,1 Jun 2027 06:38:21.595,1 Jun 2027 06:49:23.722,662.127
6,1 Jun 2027 08:12:37.867,1 Jun 2027 08:24:40.508,722.641
7,1 Jun 2027 09:47:32.931,1 Jun 2027 10:00:25.863,772.932
8,1 Jun 2027 11:23:46.242,1 Jun 2027 11:36:24.573,758.331
9,1 Jun 2027 13:01:47.749,1 Jun 2027 13:12:22.965,635.216
10,1 Jun 2027 14:42:23.971,1 Jun 2027 14:47:46.966,322.995
11,1 Jun 2027 21:17:29.954,1 Jun 2027 21:25:45.792,495.838
12,1 Jun 2027 22:53:18.158,1 Jun 2027 23:05:03.853,705.695
13,2 Jun 2027 00:29:18.598,2 Jun 2027 00:42:14.159,775.561
14,2 Jun 2027 02:05:13.106,2 Jun 2027 02:17:49.127,756.021
15,2 Jun 2027 03:40:47.927,2 Jun 2027 03:52:21.413,693.486
16,2 Jun 2027 05:15:47.563,2 Jun 2027 05:26:36.331,648.769
17,2 Jun 2027 06:50:10.128,2 Jun 2027 07:01:18.188,668.060
18,2 Jun 2027 08:24:28.623,2 Jun 2027 08:36:39.450,730.827
19,2 Jun 2027 09:59:31.656,2 Jun 2027 10:12:27.253,775.597
20,2 Jun 2027 11:35:56.967,2 Jun 2027 11:48:26.711,749.745
21,2 Jun 2027 13:14:14.366,2 Jun 2027 13:24:23.768,609.402
22,2 Jun 2027 14:55:21.496,2 Jun 2027 14:59:32.411,250.915
23,2 Jun 2027 21:29:28.453,2 Jun 2027 21:38:21.475,533.022
24,2 Jun 2027 23:05:20.082,2 Jun 2027 23:17:20.919,720.837
25,3 Jun 2027 00:41:20.509,3 Jun 2027 00:54:17.668,777.159
26,3 Jun 2027 02:17:13.343,3 Jun 2027 02:29:42.761,749.418
27,3 Jun 2027 03:52:44.573,3 Jun 2027 04:04:10.109,685.536
28,3 Jun 2027 05:27:39.038,3 Jun 2027 05:38:26.390,647.352
29,3 Jun 2027 07:01:58.587,3 Jun 2027 07:13:13.315,674.728
30,3 Jun 2027 08:36:20.096,3 Jun 2027 08:48:38.812,738.716
31,3 Jun 2027 10:11:31.692,3 Jun 2027 10:24:28.823,777.131
32,3 Jun 2027 11:48:09.459,3 Jun 2027 12:00:28.824,739.365
33,3 Jun 2027 13:26:43.389,3 Jun 2027 13:36:24.094,580.705
34,3 Jun 2027 15:08:35.338,3 Jun 2027 15:11:03.419,148.081
35,3 Jun 2027 20:07:23.281,3 Jun 2027 20:08:20.464,57.183
36,3 Jun 2027 21:41:27.843,3 Jun 2027 21:50:54.292,566.449
37,3 Jun 2027 23:17:22.114,3 Jun 2027 23:29:36.083,733.969
38,4 Jun 2027 00:53:22.297,4 Jun 2027 01:06:19.728,777.432
39,4 Jun 2027 02:29:13.247,4 Jun 2027 02:41:35.452,742.205
40,4 Jun 2027 04:04:40.610,4 Jun 2027 04:15:58.627,678.017
41,4 Jun 2027 05:39:29.900,4 Jun 2027 05:50:16.995,647.095
42,4 Jun 2027 07:13:47.056,4 Jun 2027 07:25:09.073,682.017
43,4 Jun 2027 08:48:12.391,4 Jun 2027 09:00:38.554,746.163
44,4 Jun 2027 10:23:33.101,4 Jun 2027 10:36:30.549,777.448
45,4 Jun 2027 12:00:23.764,4 Jun 2027 12:12:30.884,727.120
46,4 Jun 2027 13:39:14.971,4 Jun 2027 13:48:23.815,548.844
47,4 Jun 2027 20:18:29.889,4 Jun 2027 20:21:59.573,209.685
48,4 Jun 2027 21:53:27.924,4 Jun 2027 22:03:24.464,596.541
49,4 Jun 2027 23:29:24.209,4 Jun 2027 23:41:49.394,745.185
50,5 Jun 2027 01:05:23.944,5 Jun 2027 01:18:20.390,776.446
51,5 Jun 2027 02:41:12.783,5 Jun 2027 02:53:27.300,734.517
52,5 Jun 2027 04:16:36.024,5 Jun 2027 04:27:47.086,671.062
53,5 Jun 2027 05:51:20.198,5 Jun 2027 06:02:08.189,647.991
54,5 Jun 2027 07:25:35.659,5 Jun 2027 07:37:05.449,689.790
55,5 Jun 2027 09:00:05.574,5 Jun 2027 09:12:38.646,753.072
56,5 Jun 2027 10:35:35.939,5 Jun 2027 10:48:32.401,776.462
57,5 Jun 2027 12:12:39.949,5 Jun 2027 12:24:32.856,712.907
58,5 Jun 2027 13:51:49.308,5 Jun 2027 14:00:22.739,513.431
59,5 Jun 2027 20:30:10.705,5 Jun 2027 20:35:02.601,291.896
60,5 Jun 2027 22:05:28.528,5 Jun 2027 22:15:52.171,623.644
61,5 Jun 2027 23:41:26.342,5 Jun 2027 23:54:00.928,754.585
62,6 Jun 2027 01:17:25.415,6 Jun 2027 01:30:19.716,774.301
63,6 Jun 2027 02:53:11.922,6 Jun 2027 03:05:18.374,726.452
64,6 Jun 2027 04:28:30.789,6 Jun 2027 04:39:35.575,664.787
65,6 Jun 2027 06:03:09.987,6 Jun 2027 06:14:00.011,650.024
66,6 Jun 2027 07:37:24.484,6 Jun 2027 07:49:02.405,697.921
67,6 Jun 2027 09:11:59.740,6 Jun 2027 09:24:39.057,759.317
68,6 Jun 2027 10:47:40.261,6 Jun 2027 11:00:34.364,774.102
69,6 Jun 2027 12:24:58.080,6 Jun 2027 12:36:34.703,696.623
70,6 Jun 2027 14:04:26.675,6 Jun 2027 14:12:20.616,473.941
71,6 Jun 2027 20:41:59.745,6 Jun 2027 20:47:55.491,355.746
72,6 Jun 2027 22:17:29.538,6 Jun 2027 22:28:17.537,647.999
73,6 Jun 2027 23:53:28.485,7 Jun 2027 00:06:10.730,762.245
74,7 Jun 2027 01:29:26.695,7 Jun 2027 01:42:17.754,771.059
