Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 01:53:47.140,1 Jun 2027 02:05:32.673,705.533
2,1 Jun 2027 03:29:26.888,1 Jun 2027 03:42:13.844,766.956
3,1 Jun 2027 05:05:45.840,1 Jun 2027 05:15:54.450,608.610
4,1 Jun 2027 06:43:16.036,1 Jun 2027 06:46:12.364,176.328
5,1 Jun 2027 11:20:05.659,1 Jun 2027 11:28:51.278,525.618
6,1 Jun 2027 12:52:57.580,1 Jun 2027 13:05:20.323,742.743
7,1 Jun 2027 14:28:44.185,1 Jun 2027 14:41:13.773,749.588
8,1 Jun 2027 16:08:32.067,1 Jun 2027 16:15:38.349,426.282
9,2 Jun 2027 00:32:04.155,2 Jun 2027 00:36:51.894,287.740
10,2 Jun 2027 02:05:43.395,2 Jun 2027 02:17:51.737,728.342
11,2 Jun 2027 03:41:29.741,2 Jun 2027 03:54:07.881,758.140
12,2 Jun 2027 05:17:53.017,2 Jun 2027 05:27:26.817,573.800
13,2 Jun 2027 11:31:34.399,2 Jun 2027 11:40:59.492,565.093
14,2 Jun 2027 13:04:48.223,2 Jun 2027 13:17:23.823,755.600
15,2 Jun 2027 14:40:58.646,2 Jun 2027 14:53:11.595,732.949
16,2 Jun 2027 16:21:42.063,2 Jun 2027 16:27:02.108,320.045
17,3 Jun 2027 00:43:22.968,3 Jun 2027 00:50:07.582,404.614
18,3 Jun 2027 02:17:40.947,3 Jun 2027 02:30:07.044,746.097
19,3 Jun 2027 03:53:33.117,3 Jun 2027 04:05:59.173,746.056
20,3 Jun 2027 05:30:01.003,3 Jun 2027 05:38:56.270,535.267
21,3 Jun 2027 10:13:00.232,3 Jun 2027 10:15:28.159,147.927
22,3 Jun 2027 11:43:06.085,3 Jun 2027 11:53:06.858,600.773
23,3 Jun 2027 13:16:41.617,3 Jun 2027 13:29:26.802,765.186
24,3 Jun 2027 14:53:16.802,3 Jun 2027 15:05:08.174,711.372
25,3 Jun 2027 16:35:37.103,3 Jun 2027 16:37:44.033,126.929
26,4 Jun 2027 00:54:57.289,4 Jun 2027 01:03:04.674,487.385
27,4 Jun 2027 02:29:39.596,4 Jun 2027 02:42:18.855,759.259
28,4 Jun 2027 04:05:36.990,4 Jun 2027 04:17:47.733,730.744
29,4 Jun 2027 05:42:09.996,4 Jun 2027 05:50:22.657,492.661
30,4 Jun 2027 10:23:52.497,4 Jun 2027 10:28:01.705,249.208
