Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 01:23:00.822,1 Jun 2027 01:34:57.561,716.739
2,1 Jun 2027 03:00:14.178,1 Jun 2027 03:06:33.656,379.478
3,1 Jun 2027 09:10:51.603,1 Jun 2027 09:20:05.507,553.904
4,1 Jun 2027 10:44:00.015,1 Jun 2027 10:56:42.964,762.949
5,1 Jun 2027 12:20:42.352,1 Jun 2027 12:32:15.778,693.426
6,1 Jun 2027 22:24:27.458,1 Jun 2027 22:32:46.300,498.842
7,1 Jun 2027 23:59:00.220,2 Jun 2027 00:11:47.030,766.811
8,2 Jun 2027 01:35:06.970,2 Jun 2027 01:46:39.955,692.984
9,2 Jun 2027 03:12:41.525,2 Jun 2027 03:17:36.042,294.517
10,2 Jun 2027 09:22:19.667,2 Jun 2027 09:32:16.596,596.929
11,2 Jun 2027 10:55:55.371,2 Jun 2027 11:08:45.571,770.199
12,2 Jun 2027 12:33:08.215,2 Jun 2027 12:44:07.238,659.023
13,2 Jun 2027 22:36:06.562,2 Jun 2027 22:45:32.666,566.104
14,3 Jun 2027 00:10:59.956,3 Jun 2027 00:23:52.201,772.245
15,3 Jun 2027 01:47:14.127,3 Jun 2027 01:58:18.969,664.841
16,3 Jun 2027 03:25:27.096,3 Jun 2027 03:28:17.908,170.812
17,3 Jun 2027 09:33:51.717,3 Jun 2027 09:44:26.102,634.385
18,3 Jun 2027 11:07:53.996,3 Jun 2027 11:20:47.265,773.268
19,3 Jun 2027 12:45:39.733,3 Jun 2027 12:55:55.711,615.977
20,3 Jun 2027 22:47:51.336,3 Jun 2027 22:58:10.476,619.140
21,4 Jun 2027 00:23:00.739,4 Jun 2027 00:35:53.943,773.203
22,4 Jun 2027 01:59:22.404,4 Jun 2027 02:09:54.470,632.066
23,4 Jun 2027 08:15:23.457,4 Jun 2027 08:18:25.154,181.697
24,4 Jun 2027 09:45:27.455,4 Jun 2027 09:56:34.312,666.856
25,4 Jun 2027 11:19:55.955,4 Jun 2027 11:32:47.987,772.032
26,4 Jun 2027 12:58:18.052,4 Jun 2027 13:07:40.165,562.114
27,4 Jun 2027 22:59:40.043,4 Jun 2027 23:10:41.594,661.551
28,5 Jun 2027 00:35:02.494,5 Jun 2027 00:47:52.349,769.856
29,5 Jun 2027 02:11:31.997,5 Jun 2027 02:21:26.271,594.274
30,5 Jun 2027 08:26:07.596,5 Jun 2027 08:31:08.606,301.010
31,5 Jun 2027 09:57:06.690,5 Jun 2027 10:08:41.400,694.710
32,5 Jun 2027 11:32:01.359,5 Jun 2027 11:44:47.638,766.280
33,5 Jun 2027 13:11:05.094,5 Jun 2027 13:19:18.783,493.690
34,5 Jun 2027 23:11:31.681,5 Jun 2027 23:23:07.106,695.425
35,6 Jun 2027 00:47:05.162,6 Jun 2027 00:59:47.491,762.330
36,6 Jun 2027 02:23:43.196,6 Jun 2027 02:32:54.070,550.874
37,6 Jun 2027 08:37:10.790,6 Jun 2027 08:43:35.299,384.509
38,6 Jun 2027 10:08:49.303,6 Jun 2027 10:20:47.488,718.184
39,6 Jun 2027 11:44:10.356,6 Jun 2027 11:56:46.108,755.752
40,6 Jun 2027 13:24:04.702,6 Jun 2027 13:30:47.843,403.142
41,6 Jun 2027 23:23:25.601,6 Jun 2027 23:35:27.741,722.140
42,7 Jun 2027 00:59:08.701,7 Jun 2027 01:11:39.404,750.703
43,7 Jun 2027 02:35:56.466,7 Jun 2027 02:44:17.408,500.941
44,7 Jun 2027 08:48:23.292,7 Jun 2027 08:55:54.998,451.706
45,7 Jun 2027 10:20:35.210,7 Jun 2027 10:32:52.657,737.447
46,7 Jun 2027 11:56:23.141,7 Jun 2027 12:08:43.223,740.082
47,7 Jun 2027 13:37:27.844,7 Jun 2027 13:41:56.532,268.688
48,7 Jun 2027 22:01:59.047,7 Jun 2027 22:06:51.456,292.409
49,7 Jun 2027 23:35:21.371,7 Jun 2027 23:47:43.998,742.626
50,8 Jun 2027 01:11:13.110,8 Jun 2027 01:23:28.092,734.982
51,8 Jun 2027 02:48:12.582,8 Jun 2027 02:55:35.523,442.942
52,8 Jun 2027 08:59:42.203,8 Jun 2027 09:08:10.655,508.452
53,8 Jun 2027 10:32:24.350,8 Jun 2027 10:44:56.947,752.598
54,8 Jun 2027 12:08:39.988,8 Jun 2027 12:20:38.751,718.763
55,8 Jun 2027 22:13:12.070,8 Jun 2027 22:20:09.814,417.744
56,8 Jun 2027 23:47:18.689,8 Jun 2027 23:59:56.233,757.544
57,9 Jun 2027 01:23:18.402,9 Jun 2027 01:35:13.537,715.135
58,9 Jun 2027 03:00:33.008,9 Jun 2027 03:06:46.967,373.959
59,9 Jun 2027 09:11:06.210,9 Jun 2027 09:20:23.604,557.394
60,9 Jun 2027 10:44:16.720,9 Jun 2027 10:57:00.361,763.641
61,9 Jun 2027 12:21:01.285,9 Jun 2027 12:32:32.370,691.085
62,9 Jun 2027 22:24:42.855,9 Jun 2027 22:33:07.267,504.411
63,9 Jun 2027 23:59:17.335,10 Jun 2027 00:12:04.703,767.368
64,10 Jun 2027 01:35:24.618,10 Jun 2027 01:46:55.683,691.065
65,10 Jun 2027 03:13:01.116,10 Jun 2027 03:17:48.418,287.302
66,10 Jun 2027 09:22:34.588,10 Jun 2027 09:32:34.555,599.966
67,10 Jun 2027 10:56:12.319,10 Jun 2027 11:09:02.897,770.577
68,10 Jun 2027 12:33:27.544,10 Jun 2027 12:44:23.628,656.084
69,10 Jun 2027 22:36:22.461,10 Jun 2027 22:45:52.904,570.443
70,11 Jun 2027 00:11:17.150,11 Jun 2027 00:24:09.615,772.464
71,11 Jun 2027 01:47:31.851,11 Jun 2027 01:58:34.442,662.591
72,11 Jun 2027 03:25:49.355,11 Jun 2027 03:28:27.445,158.090
73,11 Jun 2027 09:34:06.927,11 Jun 2027 09:44:43.949,637.023
74,11 Jun 2027 11:08:11.192,11 Jun 2027 11:21:04.516,773.324
75,11 Jun 2027 12:45:59.527,11 Jun 2027 12:56:11.836,612.309
76,11 Jun 2027 22:48:07.569,11 Jun 2027 22:58:30.167,622.598
77,12 Jun 2027 00:23:18.004,12 Jun 2027 00:36:11.104,773.099
78,12 Jun 2027 01:59:40.211,12 Jun 2027 02:10:09.676,629.465
79,12 Jun 2027 08:15:33.500,12 Jun 2027 08:18:46.954,193.453
80,12 Jun 2027 09:45:42.935,12 Jun 2027 09:56:52.064,669.129
81,12 Jun 2027 11:20:13.404,12 Jun 2027 11:33:05.158,771.755
82,12 Jun 2027 12:58:38.421,12 Jun 2027 13:07:55.923,557.502
83,12 Jun 2027 22:59:56.517,12 Jun 2027 23:11:00.836,664.319
84,13 Jun 2027 00:35:19.824,13 Jun 2027 00:48:09.265,769.441
85,13 Jun 2027 02:11:49.907,13 Jun 2027 02:21:41.193,591.286
86,13 Jun 2027 08:26:19.989,13 Jun 2027 08:31:28.222,308.233
87,13 Jun 2027 09:57:22.427,13 Jun 2027 10:08:59.069,696.642
88,13 Jun 2027 11:32:19.070,13 Jun 2027 11:45:04.722,765.652
89,13 Jun 2027 13:11:26.238,13 Jun 2027 13:19:33.981,487.743
90,13 Jun 2027 23:11:48.339,13 Jun 2027 23:23:25.964,697.625
