Acces,Start Time (UTCG),Stop Time (UTCG),Duration (sec)
1,1 Jun 2027 08:24:04.420,1 Jun 2027 08:29:25.786,321.366
2,1 Jun 2027 09:55:52.532,1 Jun 2027 10:08:34.127,761.595
3,1 Jun 2027 20:29:17.970,1 Jun 2027 20:36:08.964,410.994
4,1 Jun 2027 22:01:54.260,1 Jun 2027 22:14:30.896,756.636
5,2 Jun 2027 08:34:42.560,2 Jun 2027 08:42:41.356,478.796
6,2 Jun 2027 10:07:57.415,2 Jun 2027 10:20:26.200,748.784
7,2 Jun 2027 20:40:13.917,2 Jun 2027 20:49:07.231,533.314
8,2 Jun 2027 22:14:02.046,2 Jun 2027 22:26:19.979,737.934
9,3 Jun 2027 08:45:50.082,3 Jun 2027 08:55:28.513,578.432
10,3 Jun 2027 10:20:08.221,3 Jun 2027 10:32:12.134,723.914
11,3 Jun 2027 20:51:29.948,3 Jun 2027 21:01:46.280,616.333
12,3 Jun 2027 22:26:16.052,3 Jun 2027 22:38:02.546,706.494
13,4 Jun 2027 08:57:12.836,4 Jun 2027 09:08:01.206,648.369
14,4 Jun 2027 10:32:25.678,4 Jun 2027 10:43:51.063,685.385
15,4 Jun 2027 21:02:58.284,4 Jun 2027 21:14:13.723,675.440
16,4 Jun 2027 22:38:37.299,4 Jun 2027 22:49:37.462,660.163
17,5 Jun 2027 09:08:45.946,5 Jun 2027 09:20:24.149,698.204
18,5 Jun 2027 10:44:51.177,5 Jun 2027 10:55:21.454,630.277
19,5 Jun 2027 21:14:35.594,5 Jun 2027 21:26:32.704,717.110
20,5 Jun 2027 22:51:07.692,5 Jun 2027 23:01:02.647,594.955
21,6 Jun 2027 09:20:27.044,6 Jun 2027 09:32:39.556,732.512
22,6 Jun 2027 10:57:27.417,6 Jun 2027 11:06:40.449,553.033
23,6 Jun 2027 21:26:20.159,6 Jun 2027 21:38:44.819,744.660
24,6 Jun 2027 23:03:51.213,6 Jun 2027 23:12:13.968,502.755
25,7 Jun 2027 09:32:14.838,7 Jun 2027 09:44:48.577,753.739
26,7 Jun 2027 11:10:20.568,7 Jun 2027 11:17:41.702,441.134
27,7 Jun 2027 21:38:11.007,7 Jun 2027 21:50:50.887,759.880
28,7 Jun 2027 23:16:58.455,7 Jun 2027 23:23:00.650,362.195
29,8 Jun 2027 09:44:08.613,8 Jun 2027 09:56:51.793,763.180
30,8 Jun 2027 11:23:52.969,8 Jun 2027 11:28:02.689,249.720
31,8 Jun 2027 20:19:26.176,8 Jun 2027 20:22:38.259,192.083
32,8 Jun 2027 21:50:07.631,8 Jun 2027 22:02:51.294,763.662
33,9 Jun 2027 08:24:16.384,9 Jun 2027 08:29:44.498,328.114
34,9 Jun 2027 09:56:08.039,9 Jun 2027 10:08:49.401,761.362
35,9 Jun 2027 20:29:30.880,9 Jun 2027 20:36:26.753,415.873
36,9 Jun 2027 22:02:09.858,9 Jun 2027 22:14:46.076,756.218
37,10 Jun 2027 08:34:55.993,10 Jun 2027 08:42:58.636,482.643
38,10 Jun 2027 10:08:13.103,10 Jun 2027 10:20:41.282,748.178
39,10 Jun 2027 20:40:27.704,10 Jun 2027 20:49:24.169,536.465
40,10 Jun 2027 22:14:17.829,10 Jun 2027 22:26:34.959,737.130
41,11 Jun 2027 08:46:04.130,11 Jun 2027 08:55:45.200,581.069
42,11 Jun 2027 10:20:24.109,11 Jun 2027 10:32:27.003,722.893
43,11 Jun 2027 20:51:44.213,11 Jun 2027 21:02:02.767,618.555
44,11 Jun 2027 22:26:32.050,11 Jun 2027 22:38:17.302,705.252
45,12 Jun 2027 08:57:27.276,12 Jun 2027 09:08:17.519,650.243
46,12 Jun 2027 10:32:41.791,12 Jun 2027 10:44:05.686,683.895
47,12 Jun 2027 21:03:12.870,12 Jun 2027 21:14:29.894,677.024
48,12 Jun 2027 22:38:53.547,12 Jun 2027 22:49:51.940,658.393
49,13 Jun 2027 09:09:00.665,13 Jun 2027 09:20:40.192,699.527
50,13 Jun 2027 10:45:07.578,13 Jun 2027 10:55:35.763,628.185
51,13 Jun 2027 21:14:50.433,13 Jun 2027 21:26:48.631,718.198
52,13 Jun 2027 22:51:24.278,13 Jun 2027 23:01:16.759,592.481
